ACTEU;AGE;DDIPL;IDENT;NOI;SALMEE;SEXE;TPP
3;77;7;G0V1EXHA;01;;2;
1;46;5;G0V1EXIA;01;1900;1;1
1;37;5;G0V1EXIA;02;1400;2;2
3;15;6;G0V1EXIA;03;;1;
3;71;7;G0V1EXJA;01;;1;
3;78;7;G0V1EXJA;02;;2;
1;27;7;G0V1EXLA;01;1700;1;1
1;28;7;G0V1EXLA;02;829;2;2
3;60;7;G0V1EXMA;01;;1;
1;48;5;G0V1EXMA;02;1179;2;1
3;15;7;G0V1EXMA;03;;1;
3;21;5;G0V1EXMA;04;;1;
1;49;6;G0V1EXNA;01;1550;2;1
1;25;1;G0V1EXNA;02;2200;1;1
1;26;5;G0V1EXOA;01;402;2;2
1;27;5;G0V1EXOA;02;1780;1;1
1;60;5;G0V1EXPA;01;311;2;2
3;29;5;G0V1EXPA;02;;1;
3;83;7;G0W1E09A;01;;2;
3;75;4;G0W1E0BA;01;;2;
3;57;7;G0W1E0CA;01;;2;
1;33;5;G0W1E0DA;01;1500;1;1
1;29;4;G0W1E0DA;02;1050;2;1
3;60;5;G0W1E0EA;01;;1;
3;57;5;G0W1E0EA;02;;2;
2;16;6;G0W1E0EA;03;;1;
1;21;5;G0W1E0EA;04;650;1;2
3;75;7;G0W1E0GA;01;;2;
1;57;3;G0W1E0HA;01;310;2;2
2;27;4;G0W1E0HA;02;;1;
3;88;7;G0X1JETA;01;;2;
2;27;1;G0X1JEVA;01;;1;
1;56;1;G0X1JEWA;01;5000;1;1
1;41;3;G0X1JEXA;01;1300;1;1
1;50;1;G0X1JHLA;01;7500;1;1
1;52;1;G0X1JHLA;02;3000;2;1
1;40;1;G0X1JKDA;01;3300;1;1
3;34;4;G0X1JKDA;02;;2;
1;30;3;G0X1JPXA;01;1200;1;1
1;23;1;G0X1JPXA;02;500;2;2
1;34;5;G0X1JPYA;01;1500;2;1
1;28;1;G0X1JPZA;01;3000;2;1
1;30;3;G0X1JPZA;02;1800;1;1
3;66;6;G0X1JQ0A;01;;2;
2;61;5;G0X1JQ2A;01;;2;
3;65;1;G0X1JQ3A;01;;2;
3;24;4;G0X1JQ4A;01;;2;
3;64;5;G0X1JQ5A;01;;2;
1;22;4;G0X1JQ7A;01;1500;2;1
1;24;4;G0X1JQ7A;02;1800;1;1
1;37;3;G0X1JQ8A;01;1850;2;1
1;37;4;G0X1JQ8A;02;1600;1;1
3;24;6;G0X1JQ9A;01;;1;
1;39;3;G0X1JQBA;01;1300;2;1
1;66;1;G0X1JY9A;01;;1;1
1;46;4;G0X1JY9A;02;3600;2;1
3;16;6;G0X1JY9A;03;;1;
3;75;4;G0Y1J11A;01;;2;
1;33;7;G0Y1OW5A;01;230;2;2
1;54;7;G0Y1OYXA;01;1450;1;1
1;44;7;G0Y1OYXA;02;1200;2;1
3;26;7;G0Y1OYXA;03;;1;
3;24;5;G0Y1OYXA;04;;1;
1;23;7;G0Y1OYXA;05;1200;2;1
2;21;7;G0Y1OYXA;06;;1;
3;19;7;G0Y1OYXA;07;;2;
2;39;7;G0Y1OYZA;01;;2;
1;39;7;G0Y1OYZA;02;1200;2;1
3;19;4;G0Y1OZ0A;01;;2;
1;51;7;G0Y1OZ0A;02;1300;1;1
3;42;6;G0Y1OZ0A;03;;2;
3;18;6;G0Y1OZ0A;04;;1;
2;33;3;G0Y1OZ1A;01;;1;
1;24;5;G0Y1OZ1A;02;1418;2;1
1;50;6;G0Y1OZ2A;01;1200;1;1
1;46;6;G0Y1OZ2A;02;1350;2;1
3;19;4;G0Y1OZ2A;03;;2;
2;40;7;G0Y1OZ3A;01;;1;
2;39;7;G0Y1OZ3A;02;;2;
3;16;7;G0Y1OZ3A;03;;1;
3;59;7;G0Y1OZ4A;01;;2;
1;43;7;G0Y1OZ8A;01;1043;2;1
3;18;6;G0Z1O1PA;01;;2;
